订单号,订单状态,支付时间,发货时间,确认收货时间,订单成交时间,承诺发货时间,商品名称,商品ID,商家编码-商品维度,商家编码-规格维度,商品规格,规格id,规格名称,样式ID,商品一级类目,商品二级类目,商品三级类目,商品四级类目,商品数量(件),商品单价(元),商品总价(元),用户实付金额(元),商家实收金额(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),拼多多优惠券(元),平台技术服务费(元),上门安装费(元),送货入户费(元),送货入户并安装费(元),退款金额(元),退款原因,退款类型,售后状态,省,市,区,街道/镇,收货人,收货人手机,买家留言,商家备注,订单来源,是否直播间成交,是否直播间引导成交,是否门店自提,门店名称,支付方式,是否分期,分期期数,手续费承担方,是否预售,是否顺丰加价,是否抽奖或0元试用,是否社区团购,是否无痕发货,是否节能补贴,快递公司,快递单号,配送状态,集运类型
2705000177,已退款,2026-04-01 01:03:56,2026-04-03 07:51:25,2026-04-07,2026-04-01 10:04:36,2026-04-03,不锈钢保温杯大容量,PD00004,SP00004,SKU009,800ml-银色,SKU009,800ml-银色,ST009,家居生活,餐饮用具,保温杯,不锈钢保温杯,3,65.00,195.00,184.69,183.58,0.00,4.12,3.61,2.58,0.00,1.11,0.00,21.42,0.00,87.35,不喜欢/效果不好,仅退款,退款成功,天津市,天津,福田区,天津市福田区长安街58号,用户972,19664770725,,,H5,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT19290346528,运输中,
2705000231,已付款,2026-04-01 02:11:37,2026-04-02 10:14:11,2026-04-06,2026-04-01 11:51:10,2026-04-03,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,2,45.00,90.00,83.58,83.08,0.00,0.77,0.67,0.48,4.50,0.50,0.00,0.00,0.00,0.00,,,,江苏省,南京,武侯区,南京市武侯区长安街118号,用户987,13736340275,,VIP客户,小程序,否,是,否,,多多支付,否,,,否,否,否,否,否,否,圆通速递,YT60113801600,运输中,
2705000173,待发货,2026-04-01 02:26:38,2026-04-02 09:42:30,2026-04-08,2026-04-01 19:40:30,2026-04-03,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,5,69.00,345.00,298.92,297.13,0.00,18.43,16.13,11.52,0.00,1.79,0.00,0.00,0.00,0.00,,,,山东省,青岛,锦江区,青岛市锦江区中山路124号,用户839,14916253009,,,小程序,否,否,否,,支付宝,否,,,是,否,否,否,否,否,顺丰速运,YT67230851810,运输中,
2705000412,已完成,2026-04-01 06:31:14,2026-04-03 06:06:30,2026-04-10,2026-04-01 12:54:25,2026-04-03,不锈钢保温杯大容量,PD00004,SP00004,SKU009,800ml-银色,SKU009,800ml-银色,ST009,家居生活,餐饮用具,保温杯,不锈钢保温杯,1,65.00,65.00,51.53,51.22,0.00,5.39,4.71,3.37,0.00,0.31,0.00,0.00,0.00,0.00,,,,河南省,郑州,福田区,郑州市福田区中山路176号,用户293,15875695656,送人用请精美包装,,小程序,否,否,否,,微信支付,否,,,否,否,否,否,否,否,邮政快递,YT51046664599,运输中,
2705000292,已付款,2026-04-01 07:59:32,2026-04-01 04:52:47,2026-04-02,2026-04-01 01:10:37,2026-04-03,有机红枣夹核桃500g,PD00007,SP00007,SKU015,500g袋装,SKU015,500g袋装,ST015,食品生鲜,坚果零食,红枣,夹心红枣,1,39.00,39.00,31.89,31.57,0.00,2.84,2.49,1.78,0.00,0.32,0.00,0.00,0.00,30.60,七天无理由退货,仅退款,退货退款,陕西省,西安,朝阳区,西安市朝阳区中山路222号,用户524,15594121016,,,小程序,否,否,否,,花呗分期,否,,,是,否,否,否,否,否,中通快递,YT23803518994,运输中,
2705000032,已付款,2026-04-01 11:11:55,2026-04-01 04:26:46,2026-04-03,2026-04-01 20:16:55,2026-04-03,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,1,59.00,59.00,57.87,57.52,0.00,0.45,0.40,0.28,0.00,0.35,0.00,0.00,0.00,0.00,,,,广东省,广州,锦江区,广州市锦江区建设路103号,用户313,13481622911,,,APP-iOS,否,否,否,,支付宝,否,,,否,否,否,否,否,否,韵达快递,YT96985600700,运输中,
2705000320,已退款,2026-04-01 15:59:14,2026-04-03 13:19:42,2026-04-10,2026-04-01 21:10:43,2026-04-03,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,1,29.90,29.90,28.07,27.90,0.00,0.13,0.12,0.08,1.50,0.17,0.00,0.00,0.00,25.62,物流太慢,退货退款,退款成功,江西省,南昌,锦江区,南昌市锦江区解放路143号,用户339,18227842308,,老客户,H5,否,否,否,,多多支付,否,,,否,否,否,否,否,否,申通快递,YT41256952348,运输中,
2705000058,已签收,2026-04-01 17:26:29,2026-04-02 05:18:56,2026-04-03,2026-04-01 12:42:03,2026-04-03,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,1,29.90,29.90,29.10,28.93,0.00,0.32,0.28,0.20,0.00,0.17,0.00,0.00,0.00,0.00,,,,云南省,昆明,锦江区,昆明市锦江区长安街59号,用户770,17691868760,,,H5,否,否,否,,微信支付,否,,,否,否,否,否,否,否,极兔速递,YT98934092228,运输中,
2705000042,待发货,2026-04-01 18:14:51,2026-04-01 06:27:34,2026-04-05,2026-04-01 01:07:23,2026-04-03,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,1,59.00,59.00,50.28,49.78,0.00,3.49,3.05,2.18,0.00,0.50,0.00,0.00,0.00,0.00,,,,安徽省,合肥,西城区,合肥市西城区人民路291号,用户635,17368243802,,,APP-iOS,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,中通快递,YT33705976089,已签收,
2705000432,已完成,2026-04-02 01:26:25,2026-04-04 19:31:51,2026-04-05,2026-04-02 06:11:44,2026-04-04,男士运动休闲鞋透气款,PD00005,SP00005,SKU010,39码-黑色,SKU010,39码-黑色,ST010,运动户外,运动鞋服,运动鞋,跑步鞋,2,119.00,238.00,205.58,204.35,0.00,12.97,11.35,8.10,0.00,1.23,0.00,0.00,0.00,0.00,,,,江西省,南昌,西城区,南昌市西城区解放路203号,用户729,19868370758,,,网页,否,否,否,,多多支付,否,,,否,否,否,否,否,否,极兔速递,YT64180464566,已签收,
