订单号,支付时间,商品ID,商品名称,商家编码-SKU维度,商家编码-商品维度,商品规格,商品数量(件),商品单价(元),商品总价(元),订单金额(元),优惠金额(元),商家实收金额(元),订单状态,省份,城市,收货人姓名,收货人手机,收货地址,退款金额(元),退款原因,退款状态,支付方式,快递公司,快递单号,是否预售,运费(元),商品类目,百亿补贴
2605000436,2026-04-01 00:50:34,PD00003,儿童益智积木拼装玩具,SKU006,SP00003,大颗粒100粒,4,62.50,250.00,250.00,31.73,218.27,已完成,安徽省,合肥,用户221,13866314019,合肥区测试路240号,0,,,花呗分期,极兔速递,YT55785004183,否,0,母婴玩具,否
2605000066,2026-04-01 02:12:26,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,5,76.20,381.00,381.00,24.27,356.73,待发货,广东省,广州,用户974,13881780347,广州区测试路244号,290.85,商品与描述不符,退款成功,微信支付,韵达快递,YT84298356075,否,0,服饰内衣,否
2605000189,2026-04-01 02:47:50,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,4,54.94,219.76,219.76,19.11,200.65,已发货,云南省,云南省,用户281,13811753409,云南省区测试路115号,0,,,微信支付,申通快递,YT96040323818,否,0,服饰内衣,否
2605000004,2026-04-01 03:00:23,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,3,82.72,248.16,248.16,49.42,198.74,已退款,湖北省,武汉,用户192,13818597223,武汉区测试路81号,76.55,物流太慢,退款成功,花呗分期,韵达快递,YT40671960793,否,0,服饰内衣,是
2605000346,2026-04-01 03:16:58,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,5,155.44,777.20,777.20,156.54,620.66,已完成,四川省,成都,用户579,13819569944,成都区测试路50号,0,,,支付宝,韵达快递,YT61622045723,否,0,数码电器,否
2605000233,2026-04-01 03:53:16,PD00003,儿童益智积木拼装玩具,SKU007,SP00003,大颗粒200粒,1,56.54,56.54,56.54,15.21,41.33,待发货,安徽省,合肥,用户489,13832896253,合肥区测试路186号,0,,,微信支付,顺丰速运,YT72805083098,否,0,母婴玩具,否
2605000344,2026-04-01 07:51:57,PD00002,无线蓝牙耳机Pro版,SKU004,SP00002,黑色标准版,3,68.49,205.47,205.47,37.58,167.89,已发货,江苏省,南京,用户619,13897200938,南京区测试路60号,0,,,支付宝,申通快递,YT10857423652,否,0,数码电器,否
2605000303,2026-04-01 10:39:26,PD00003,儿童益智积木拼装玩具,SKU006,SP00003,大颗粒100粒,3,68.00,204.00,204.00,54.23,149.77,已发货,上海市,上海市,用户320,13886887720,上海市区测试路130号,0,,,支付宝,申通快递,YT28067438702,否,0,母婴玩具,否
2605000434,2026-04-01 11:29:56,PD00006,女士防晒衣轻薄透气,SKU014,SP00006,L码-粉色,3,44.45,133.35,133.35,33.01,100.34,已退款,辽宁省,辽宁省,用户404,13826673251,辽宁省区测试路215号,86.05,七天无理由退货,退款成功,支付宝,申通快递,YT55665345145,否,0,服饰内衣,否
2605000356,2026-04-01 18:54:01,PD00007,有机红枣夹核桃500g,SKU016,SP00007,1000g礼盒,3,35.89,107.67,107.67,25.13,82.54,已付款,上海市,上海市,用户613,13891972346,上海市区测试路189号,0,,,花呗分期,韵达快递,YT31035585551,否,0,食品生鲜,否
