商品,订单号,订单状态,商品数量(件),是否审核中,支付时间,承诺发货时间,承诺送达时间,发货时间,确认收货时间,商品id,商品规格,样式ID,商品一级类目,商品二级类目,商品三级类目,商品四级类目,商家编码-规格维度,商家编码-商品维度,商家备注,买家留言,售后状态,消费者资料,订单成交时间,消费者资料上传时间,赠品名称,赠品id,赠品规格,赠品数量,团ID,团身份,是否已开始配送,配送员是否已送达,配送状态,同城是否普通快递,集运类型,赠品订单号,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),上门安装费(元),送货入户费(元),送货入户并安装费(元),用户实付金额(元),商家实收金额(元),快递单号,快递公司,省,市,区,街道/镇,配送员手机号,是否抽奖或0元试用,是否顺丰加价,用户购买手机号,旅行类信息,充值号码,是否门店自提,门店名称,门店自定义编码,关联货品编码,货品名称,货品类型,子货品,仓库名称,仓库所在地址,海淘清关订单号,支付ID,支付方式,保税仓,是否直播间成交,是否直播间引导成交,预约配送时间,是否节能补贴,是否分期,分期期数,手续费承担方,是否无痕发货,订单来源,是否社区团购,小区送达情况,分期方式,是否已上传证件照片,是否支持上传识别码,识别码上传状态
红豆少女发育期内衣初高中学生运动防震背心青少年青春期无痕文胸,260525-159278732851570,已发货，待收货,1	,正常,2026-05-25 14:10:40,2026-05-27 14:10:40,,2026-05-25 14:53:26,	,953110765144	,"【白色+隐形肤+香槟肤】3件A类亲肤-二三阶段少女发育期,3XL【125-145斤】接近肤色",1899795087665	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,YXT-A30-白色隐形肤香槟肤-6,源鑫泰-A30,	,	,无售后或售后取消,,2026-05-25 14:10:40,	,,,,,,,否,否,	,否,	,,86.19	,0.0	,0.0	,13.79	,0.0	,0.0	,0.0	,0.0	,72.4	,86.19	,465371877732995	,韵达快递,安徽省,滁州市,来安县,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女文胸罩无痕提拉防震初高中学生青春发育期运动蚕丝内衣,260525-054704227921314,待发货,1	,正常,2026-05-25 13:37:46,2026-05-27 13:37:46,,	,	,940487416905	,"1件C组【少女发育期-丝滑奶皮吸湿透气】,L【85-100斤】背工字部设计稳支撑",1887286416122	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,HXB-HZ253Y020-蓝格-03,志合-HZ253Y020,	,	,无售后或售后取消,,2026-05-25 13:37:46,	,,,,,,,否,否,	,否,	,,37.8	,0.0	,4.8	,15.0	,0.0	,0.0	,0.0	,0.0	,18.0	,33.0	,	,	,安徽省,合肥市,庐阳区,,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女文胸罩无痕提拉防震初高中学生青春发育期运动蚕丝内衣,260525-473956370023526,待发货,1	,正常,2026-05-25 13:20:26,2026-05-27 13:20:26,,	,	,940487416905	,"1件H组【少女发育期-丝滑奶皮吸湿透气】,M【60-85斤】0.4cm半固定杯垫",1887287959919	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,HXB-HZ253Y020-紫蝴蝶结-02,志合-HZ253Y020,	,	,无售后或售后取消,,2026-05-25 13:20:26,	,,,,,,,否,否,	,否,	,,37.8	,0.0	,4.8	,15.0	,0.0	,0.0	,0.0	,0.0	,18.0	,33.0	,	,	,黑龙江省,双鸭山市,友谊县,,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆初高中少女文胸青春发育期学生运动内衣二三阶段女童无痕背心,260525-144913211002745,待发货,1	,正常,2026-05-25 12:41:42,2026-05-27 12:41:42,,	,	,941062497743	,"【2件】奶白色+粉底液肤（无痕冰丝-软糯小奶皮）,XL【100-120斤】果冻胶底围",1896550197363	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,HXB-HZ253Y005-奶白粉底液肤-04,HZ253Y005,	,	,无售后或售后取消,,2026-05-25 12:41:42,	,,,,,,,否,否,	,否,	,,60.4	,0.0	,1.0	,0.5	,0.0	,0.0	,0.0	,0.0	,58.9	,59.4	,	,	,黑龙江省,绥化市,兰西县,,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女文胸发育期初高中学生运动防震内衣冰丝无痕软支撑背心,260525-506598603092672,待发货,1	,正常,2026-05-25 11:34:24,2026-05-27 11:34:24,,	,	,943394538149	,"2件F组【A类婴幼儿-少女发育期人体工学款】,L【75-95斤】10000+透气孔",1890000646691	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,ZH1534-香槟白浅蓝色-03,ZH1534,	,	,无售后或售后取消,,2026-05-25 11:34:24,	,,,,,,,否,否,	,否,	,,59.3	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,59.3	,59.3	,	,	,山东省,青岛市,城阳区,,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女文胸罩无痕提拉防震初高中学生青春发育期运动蚕丝内衣,260525-400524644723531,待发货,1	,正常,2026-05-25 10:54:12,2026-05-27 10:54:12,,	,	,940487416905	,"1件B组【少女发育期-丝滑奶皮吸湿透气】,L【85-100斤】背工字部设计稳支撑",1887286416118	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,HXB-HZ253Y020-粉底液肤-03,志合-HZ253Y020,	,	,无售后或售后取消,,2026-05-25 10:54:12,	,,,,,,,否,否,	,否,	,,37.8	,0.0	,4.8	,15.0	,0.0	,0.0	,0.0	,0.0	,18.0	,33.0	,	,	,江苏省,无锡市,锡山区,,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女发育期内衣初高中学生运动防震背心青少年青春期无痕文胸,260525-311857047923495,已发货，待收货,1	,正常,2026-05-25 08:56:16,2026-05-27 08:56:17,,2026-05-25 14:53:27,	,953110765144	,"【粉色+隐形肤+香槟肤】3件A类亲肤-二三阶段少女发育期,2XL【110-125斤】轻易透气",1899795087669	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,YXT-A30-粉色隐形肤香槟肤-5,源鑫泰-A30,	,	,无售后或售后取消,,2026-05-25 08:56:17,	,,,,,,,否,否,	,否,	,,86.19	,0.0	,0.0	,28.96	,0.0	,0.0	,0.0	,0.0	,57.23	,86.19	,465371876734756	,韵达快递,江苏省,苏州市,工业园区,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆初高中少女文胸青春发育期学生运动内衣二三阶段女童无痕背心,260525-670721687942894,待发货,1	,正常,2026-05-25 01:42:16,2026-05-27 01:42:16,,	,	,941062497743	,"【2件】粉色+浅蓝色（无痕冰丝-软糯小奶皮）,2XL【120-135斤】无痕软支撑",1896549306414	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,HXB-HZ253Y005-浅蓝色粉色-05,HZ253Y005,	,	,无售后或售后取消,,2026-05-25 01:42:16,	,,,,,,,否,否,	,否,	,,60.4	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,60.4	,60.4	,	,	,广东省,湛江市,廉江市,,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女粉底液隐形内衣女学生初高中青春发育期背心运动防震文胸,260524-293208092192496,待发货,1	,正常,2026-05-24 23:21:16,2026-05-26 23:21:16,,	,	,944963830288	,"2条I组【舒适-自在-透气-零束缚】,XL【105-125斤】贴合胸型-不凸点",1891118074811	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,ZHW5109-肤色粉底液肤-04,志合-ZHW5109,	,	,无售后或售后取消,,2026-05-24 23:21:16,	,,,,,,,否,否,	,否,	,,62.5	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,62.5	,62.5	,	,	,北京市,北京市,朝阳区,,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
红豆少女发育期内衣初高中学生运动防震背心青少年青春期无痕文胸,260524-448900656683296,已发货，待收货,1	,正常,2026-05-24 23:06:42,2026-05-26 23:06:42,,2026-05-25 14:53:26,	,953110765144	,"【白色+白色+香槟肤】3件A类亲肤-二三阶段少女发育期,L【85-95斤】超高弹力",1899795087672	,童装/婴儿装/亲子装,抹胸/文胸/发育内衣,抹胸/文胸/发育内衣,	,YXT-A30-白色白色香槟肤-3,源鑫泰-A30,	,	,无售后或售后取消,,2026-05-24 23:06:42,	,,,,,,,否,否,	,否,	,,86.19	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,0.0	,86.19	,86.19	,465371877733770	,韵达快递,湖北省,省直辖县级行政区划,仙桃市,****,,否,否,	,	,	,否,	,	,	,	,	,	,	,	,	,	,	,	,否,否,	,否,否,,	,否,	,否,,,否,否,未上传
